Age [ka BP]	Acc rate [cm/a] (ice-equivalent accumulation r...)	Acc rate [cm/a] (ice-equivalent accumulation r...)	Acc rate [cm/a] (ice-equivalent accumulation r...)
0.6425	20.93	21.101	20.704
0.6435	20.94	21.104	20.707
0.6445	31.41	31.661	31.064
0.6455	31.41	31.663	31.066
0.6465	20.94	21.112	20.714
0.6475	20.95	21.115	20.716
0.6485	20.95	21.117	20.718
0.6495	20.95	21.121	20.722
0.6505	20.95	21.121	20.721
0.6515	31.43	31.688	31.088
0.6525	20.96	21.127	20.727
0.6535	31.44	31.696	31.095
0.6545	20.96	21.133	20.731
0.6555	20.96	21.134	20.732
0.6565	20.97	21.138	20.736
0.6575	20.97	21.14	20.738
0.6585	20.97	21.144	20.742
0.6595	31.46	31.715	31.111
0.6605	24.12	24.322	23.858
0.6615	15.73	15.862	15.56
